2026-03-17 18:56:49 | CaptureMode | Layer=default | Keyboard=1 | VK=53 | Key=5 | AddedBinding=default|1_53=folder|C:/;;folder|D:/;;folder|E:/ | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 02:46:47 | Layer=default | Keyboard=1 | VK=70 | Key=f | SuggestedBinding=default|1_70=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 02:46:54 | Layer=default | Keyboard=1 | VK=54 | Key=6 | SuggestedBinding=default|1_54=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 02:47:04 | Layer=default | Keyboard=1 | VK=48 | Key=0 | SuggestedBinding=default|1_48=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 02:47:04 | Layer=default | Keyboard=1 | VK=65 | Key=a | SuggestedBinding=default|1_65=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 02:51:59 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 05:41:00 | Layer=default | Keyboard=1 | VK=54 | Key=6 | SuggestedBinding=default|1_54=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:07:20 | Layer=default | Keyboard=1 | VK=70 | Key=f | SuggestedBinding=default|1_70=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:12:36 | Layer=default | Keyboard=1 | VK=54 | Key=6 | SuggestedBinding=default|1_54=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:20:41 | Layer=default | Keyboard=1 | VK=70 | Key=f | SuggestedBinding=default|1_70=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:20:42 | Layer=default | Keyboard=1 | VK=69 | Key=e | SuggestedBinding=default|1_69=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:20:44 | Layer=default | Keyboard=1 | VK=68 | Key=d | SuggestedBinding=default|1_68=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:20:45 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:20:46 | Layer=default | Keyboard=1 | VK=68 | Key=d | SuggestedBinding=default|1_68=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:20:46 | Layer=default | Keyboard=1 | VK=69 | Key=e | SuggestedBinding=default|1_69=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:20:47 | Layer=default | Keyboard=1 | VK=70 | Key=f | SuggestedBinding=default|1_70=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:20:47 | Layer=default | Keyboard=1 | VK=57 | Key=9 | SuggestedBinding=default|1_57=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:20:48 | Layer=default | Keyboard=1 | VK=48 | Key=0 | SuggestedBinding=default|1_48=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:20:49 | Layer=default | Keyboard=1 | VK=65 | Key=a | SuggestedBinding=default|1_65=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:20:50 | Layer=default | Keyboard=1 | VK=66 | Key=b | SuggestedBinding=default|1_66=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 06:20:51 | Layer=default | Keyboard=1 | VK=54 | Key=6 | SuggestedBinding=default|1_54=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 18:15:42 | Layer=default | Keyboard=1 | VK=68 | Key=d | SuggestedBinding=default|1_68=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 18:17:42 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 18:43:43 | Layer=default | Keyboard=1 | VK=66 | Key=b | SuggestedBinding=default|1_66=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-18 18:46:01 | Layer=default | Keyboard=1 | VK=66 | Key=b | SuggestedBinding=default|1_66=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
